code_health,lead_time_minutes,total_defects,language
10.0,10770.0,1.0,Python
10.0,8120.0,1.0,Python
10.0,2715.0,0.0,Python
9.25,5242.5,3.0,Vue
10.0,5070.0,0.0,Python
10.0,3660.0,0.0,Python
10.0,3660.0,0.0,Python
10.0,3660.0,0.0,Python
8.61,7604.0,3.0,Vue
9.0,3996.0,3.0,Python
10.0,4860.0,0.0,Python
10.0,300.0,0.0,Python
10.0,2760.0,1.0,Python
10.0,2460.0,0.0,Python
10.0,3660.0,0.0,Python
10.0,11064.0,1.0,JavaScript
9.31,3077.142857,2.0,Vue
10.0,3153.333333,3.0,Vue
10.0,2490.0,0.0,Python
9.75,4176.0,3.0,Python
10.0,1230.0,3.0,Python
10.0,4242.857143,1.0,Python
10.0,1640.0,0.0,Python
10.0,5383.636364,4.0,JavaScript
10.0,4179.230769,0.0,Python
10.0,420.0,0.0,JavaScript
9.63,4335.0,5.0,Vue
10.0,3660.0,0.0,Python
10.0,5445.0,0.0,Vue
8.66,6900.0,0.0,Python
10.0,4540.0,1.0,Python
10.0,18780.0,0.0,Python
10.0,5300.0,0.0,JavaScript
10.0,7380.0,0.0,Python
10.0,4416.0,0.0,Python
10.0,5748.0,1.0,Vue
10.0,2300.0,1.0,Python
10.0,2730.0,1.0,Python
9.0,8240.0,1.0,Python
10.0,4728.0,2.0,Vue
9.75,5070.0,0.0,Python
8.16,5350.0,5.0,Python
9.5,6060.0,1.0,Vue
10.0,3000.0,0.0,Python
7.13,5792.142857,7.0,Vue
10.0,6200.0,1.0,Python
10.0,8940.0,0.0,Python
9.25,2500.0,1.0,Python
10.0,9420.0,0.0,Python
10.0,2280.0,0.0,Python
10.0,6813.333333,0.0,Python
10.0,8154.0,2.0,Python
9.25,8360.0,2.0,Python
10.0,4833.333333,2.0,Python
9.87,2370.0,0.0,Python
9.75,5424.0,4.0,Python
10.0,6340.0,0.0,Python
9.75,5175.0,0.0,Python
10.0,3920.0,0.0,Vue
10.0,8680.0,1.0,Vue
10.0,3120.0,0.0,JavaScript
10.0,3096.0,2.0,Python
10.0,3315.0,1.0,JavaScript
10.0,1960.0,0.0,Python
10.0,6180.0,0.0,Python
10.0,3390.0,0.0,Python
9.25,1920.0,0.0,Python
10.0,2160.0,0.0,Python
10.0,6258.4615380000005,4.0,Python
10.0,3660.0,0.0,Python
10.0,12360.0,0.0,JavaScript
9.12,2616.0,1.0,Python
9.25,3800.0,0.0,Python
10.0,5100.0,0.0,Python
10.0,6150.0,1.0,TypeScript
9.34,5008.695652,5.0,Python
10.0,13920.0,0.0,JavaScript
10.0,2850.0,0.0,Python
7.9,6051.111111,8.0,Vue
10.0,7755.0,1.0,Vue
10.0,7800.0,1.0,Python
10.0,4764.0,1.0,Python
10.0,7584.0,0.0,Python
10.0,8730.0,0.0,Python
10.0,5007.2727270000005,0.0,Python
10.0,2880.0,0.0,Python
10.0,8220.0,0.0,Python
10.0,7425.0,0.0,Python
9.0,5282.4,6.0,Python
10.0,5490.0,0.0,Python
8.66,4947.0,4.0,JavaScript
9.75,5517.2727270000005,2.0,Python
9.65,2670.0,1.0,Vue
10.0,5682.857143,0.0,Python
9.75,1040.0,2.0,JavaScript
9.75,3975.0,0.0,Python
10.0,2240.0,1.0,Python
10.0,5832.0,0.0,Python
10.0,8040.0,0.0,JavaScript
8.16,8400.0,0.0,Python
10.0,480.0,0.0,TypeScript
10.0,4834.285714,0.0,Python
9.25,4560.0,5.0,Python
10.0,5460.0,0.0,Python
10.0,2160.0,0.0,Python
10.0,4905.0,1.0,Python
10.0,3270.0,0.0,Python
10.0,10305.0,1.0,Vue
10.0,2660.0,0.0,Python
10.0,480.0,0.0,Vue
10.0,3750.0,1.0,Python
9.11,7751.25,3.0,Vue
10.0,300.0,0.0,Python
9.87,4120.0,2.0,Python
9.25,3185.454545,3.0,Vue
10.0,3660.0,0.0,Python
10.0,1965.0,1.0,Python
10.0,5771.25,1.0,Python
10.0,5710.0,2.0,Python
9.61,8224.615385,3.0,Vue
10.0,6183.333333,0.0,Python
10.0,4152.0,0.0,Python
10.0,1950.0,0.0,Python
10.0,4251.428571,3.0,Vue
10.0,4080.0,2.0,Python
8.33,7680.0,1.0,Python
10.0,4080.0,3.0,Python
10.0,5940.0,1.0,Python
8.7,3321.428571,4.0,Vue
10.0,5520.0,0.0,Python
10.0,4200.0,0.0,Python
10.0,3660.0,0.0,Python
9.12,3968.571429,1.0,Python
10.0,8220.0,1.0,Python
10.0,8066.666667,0.0,JavaScript
10.0,6220.0,0.0,Python
9.25,3828.0,0.0,Python
9.37,8310.0,0.0,Python
10.0,4260.0,0.0,Python
10.0,6857.142856999999,0.0,Python
10.0,5736.0,0.0,Python
10.0,4830.0,0.0,Python
9.75,4350.0,1.0,Python
10.0,5211.428571,1.0,Python
10.0,2860.0,0.0,Python
10.0,12810.0,0.0,JavaScript
10.0,3660.0,0.0,Python
8.66,8562.857143000001,1.0,JavaScript
7.3,6190.0,0.0,Python
10.0,3660.0,0.0,Python
10.0,3975.0,0.0,Python
10.0,4530.0,6.0,Python
10.0,7080.0,0.0,Python
8.77,2960.0,3.0,Python
9.75,3195.0,0.0,Python
9.25,2880.0,2.0,Python
10.0,4020.0,0.0,Python
10.0,1440.0,0.0,Vue
10.0,7170.0,0.0,Python
9.75,6156.0,3.0,Python
10.0,4188.0,1.0,Python
9.25,4662.352940999999,4.0,Python
9.5,7380.0,0.0,Python
10.0,2580.0,0.0,Python
10.0,2040.0,0.0,Python
9.38,8190.0,3.0,Vue
10.0,9880.0,1.0,Python
9.39,4884.0,2.0,Python
8.5,3660.0,0.0,Python
7.65,3037.894737,3.0,Python
10.0,7780.0,0.0,Python
10.0,4397.142857,0.0,Python
10.0,5112.0,1.0,Python
10.0,3020.0,2.0,Python
10.0,5740.0,0.0,Python
10.0,6870.0,0.0,Python
10.0,660.0,0.0,Python
10.0,2800.0,0.0,Python
9.75,7020.0,0.0,Python
10.0,3580.0,0.0,Python
9.64,2676.0,0.0,Python
10.0,3660.0,0.0,Python
10.0,6840.0,0.0,Python
10.0,2820.0,0.0,Python
10.0,3540.0,0.0,Python
10.0,7740.0,0.0,Python
10.0,3270.0,2.0,Python
10.0,3924.0,0.0,Python
10.0,6096.0,1.0,JavaScript
10.0,4520.0,0.0,Python
9.25,7523.333333,2.0,Python
10.0,5415.0,1.0,Python
9.12,5970.0,1.0,Python
10.0,3360.0,0.0,Python
9.87,7314.0,1.0,Python
9.75,7170.0,0.0,Python
10.0,1860.0,1.0,JavaScript
10.0,5910.0,0.0,TypeScript
10.0,3470.0,0.0,Python
9.25,1420.0,3.0,JavaScript
10.0,8430.0,0.0,Python
10.0,7470.0,1.0,Vue
10.0,6912.0,1.0,Python
10.0,8160.0,0.0,Python
10.0,4485.0,2.0,Python
10.0,9735.0,1.0,Vue
10.0,6273.333333,1.0,Python
9.12,4425.0,3.0,JavaScript
10.0,8430.0,0.0,Python
10.0,3540.0,0.0,Python
8.83,7793.333333,2.0,Python
10.0,2700.0,1.0,Python
10.0,5160.0,0.0,Vue
10.0,7740.0,0.0,JavaScript
9.12,7740.0,0.0,Python
10.0,5434.736842,0.0,Python
10.0,2720.0,0.0,Python
10.0,4530.0,1.0,Python
10.0,4320.0,1.0,Python
10.0,2730.0,0.0,Python
9.25,4054.285714,2.0,Python
10.0,3660.0,0.0,Python
10.0,7736.842105,4.0,JavaScript
10.0,6647.142857,4.0,Python
10.0,6814.285714,1.0,Python
10.0,5922.857143,1.0,Python
10.0,9900.0,0.0,Python
10.0,6774.0,1.0,Python
10.0,3706.666667,2.0,Python
10.0,2540.0,2.0,Python
10.0,4632.0,1.0,Python
10.0,2040.0,1.0,Python
10.0,3548.571429,1.0,Python
10.0,6864.0,0.0,Python
10.0,14540.0,0.0,Python
10.0,2040.0,0.0,Python
9.65,6914.117647,6.0,Vue
10.0,2600.0,0.0,Python
9.25,7110.0,4.0,Python
10.0,9200.0,0.0,JavaScript
10.0,5185.714286,3.0,TypeScript
10.0,4815.0,0.0,Python
10.0,3465.0,1.0,Python
10.0,3830.769231,1.0,Python
9.25,3258.0,3.0,Python
10.0,4580.0,1.0,Python
10.0,4200.0,1.0,Vue
10.0,3660.0,0.0,Python
8.0,5643.529412,0.0,Python
9.25,7116.666667,1.0,Python
9.25,4293.0,5.0,Python
10.0,5932.5,0.0,Python
10.0,2280.0,0.0,Python
10.0,600.0,0.0,JavaScript
9.87,11800.0,1.0,Python
10.0,3660.0,0.0,Python
10.0,6324.0,1.0,Vue
10.0,3660.0,0.0,Python
10.0,1980.0,0.0,Python
9.25,4220.0,0.0,Python
10.0,4877.142857,0.0,Python
10.0,2460.0,0.0,Python
10.0,3600.0,0.0,Python
10.0,6100.0,0.0,Vue
7.83,4260.0,7.0,Vue
9.75,9048.0,0.0,Python
9.12,4596.0,1.0,Python
8.82,9264.0,5.0,Vue
9.75,3660.0,0.0,Python
10.0,4085.0,0.0,Python
10.0,9075.0,0.0,Python
10.0,2764.285714,1.0,Python
9.75,14040.0,0.0,Python
9.62,4740.0,0.0,Python
10.0,2880.0,0.0,Python
10.0,3150.0,1.0,JavaScript
9.87,6552.0,1.0,Python
9.87,3760.0,1.0,Python
10.0,4230.0,0.0,Python
10.0,1755.0,1.0,Python
10.0,8658.0,2.0,Python
10.0,2793.75,1.0,Python
10.0,3210.0,0.0,Python
9.59,5088.0,2.0,Python
10.0,3948.0,0.0,Python
10.0,9805.714286,3.0,Python
10.0,5560.0,0.0,Python
10.0,8280.0,3.0,Vue
10.0,3865.714286,1.0,Python
9.01,7682.727273,3.0,Vue
10.0,13480.0,0.0,Python
10.0,5640.0,0.0,Python
9.4,2670.0,1.0,Python
10.0,5300.0,0.0,JavaScript
10.0,6531.428571,0.0,Python
8.89,7440.0,2.0,Vue
10.0,1500.0,0.0,Python
10.0,2850.0,0.0,Python
9.63,5798.571429,4.0,Vue
9.05,4260.0,0.0,Vue
10.0,3690.0,0.0,Python
10.0,6768.0,0.0,Python
10.0,2780.0,3.0,Python
10.0,1905.0,1.0,Python
9.0,9081.818181999999,5.0,Python
10.0,3000.0,0.0,Python
10.0,13260.0,0.0,Vue
10.0,8040.0,0.0,JavaScript
10.0,7140.0,1.0,Python
10.0,3536.0,1.0,Python
9.3,5635.714286,4.0,Python
10.0,10050.0,0.0,Python
10.0,4500.0,0.0,JavaScript
10.0,3660.0,0.0,Python
9.5,9166.666667,2.0,Python
9.52,1530.0,1.0,Python
10.0,2000.0,2.0,JavaScript
10.0,8640.0,0.0,JavaScript
10.0,3810.0,1.0,JavaScript
8.5,3816.0,0.0,Python
10.0,5858.571429,2.0,Python
10.0,5460.0,0.0,Python
8.5,7580.0,0.0,Python
10.0,3630.0,1.0,Python
10.0,3660.0,0.0,Python
9.87,9180.0,0.0,Python
10.0,13920.0,0.0,Python
10.0,120.0,1.0,Python
10.0,4155.0,1.0,Python
10.0,3220.0,0.0,Python
10.0,2670.0,1.0,Python
8.83,13920.0,0.0,Python
10.0,3660.0,0.0,Python
10.0,4905.0,0.0,Python
10.0,1824.0,0.0,Python
10.0,11700.0,0.0,JavaScript
10.0,6000.0,0.0,JavaScript
10.0,8700.0,0.0,Python
10.0,3390.0,0.0,Python
10.0,6035.0,4.0,Python
10.0,3660.0,0.0,Python
10.0,3420.0,0.0,Python
10.0,3750.0,0.0,Python
10.0,3660.0,0.0,Python
10.0,1950.0,0.0,JavaScript
10.0,4020.0,0.0,TypeScript
8.66,2160.0,0.0,Python
10.0,2160.0,0.0,Python
10.0,5520.0,0.0,Python
10.0,1335.0,0.0,Python
10.0,3660.0,0.0,Python
10.0,3660.0,0.0,Python
9.15,4975.0,1.0,Python
10.0,3660.0,0.0,Python
10.0,2070.0,0.0,Python
10.0,27240.0,1.0,JavaScript
9.56,8224.615385,1.0,Vue
10.0,5737.5,1.0,Python
10.0,1920.0,0.0,Python
10.0,5640.0,0.0,Python
9.4,5423.076923,1.0,Python
10.0,1980.0,0.0,Python
10.0,3570.0,0.0,Python
10.0,6480.0,1.0,Python
8.66,2897.142857,2.0,Python
10.0,10890.0,1.0,JavaScript
9.25,3660.0,0.0,Python
10.0,4220.0,0.0,Python
10.0,8640.0,0.0,Python
10.0,3660.0,0.0,Python
10.0,7008.0,0.0,Python
10.0,11760.0,1.0,Python
10.0,2784.0,1.0,Python
9.75,2956.363636,0.0,Python
8.83,6937.5,5.0,Python
9.87,8640.0,0.0,JavaScript
10.0,3171.428571,2.0,JavaScript
10.0,1440.0,0.0,TypeScript
9.14,7227.692308,4.0,Python
9.63,6843.333333,2.0,Vue
10.0,6108.0,0.0,Python
9.44,12900.0,1.0,Vue
9.66,4040.0,0.0,Python
10.0,3660.0,0.0,Python
10.0,6820.0,1.0,Python
10.0,5740.0,0.0,Python
10.0,4911.428571,0.0,Python
9.75,5117.142857,0.0,Python
9.0,3645.0,3.0,JavaScript
10.0,2400.0,0.0,Python
10.0,7780.0,0.0,Python
9.43,4005.0,1.0,Python
10.0,6720.0,3.0,JavaScript
10.0,16860.0,1.0,Vue
10.0,5070.0,0.0,Python
10.0,4455.0,0.0,Python
10.0,5640.0,0.0,Python
9.75,5750.0,1.0,Python
10.0,3675.0,2.0,Python
10.0,3620.0,1.0,Python
10.0,2160.0,1.0,Python
9.25,4335.0,1.0,Python
10.0,3795.0,0.0,Python
9.75,4688.571429,0.0,Python
10.0,4725.0,0.0,Python
10.0,1068.0,2.0,JavaScript
10.0,5070.0,0.0,Python
10.0,1680.0,3.0,Python
10.0,7980.0,0.0,Python
10.0,4878.0,3.0,JavaScript
10.0,2820.0,0.0,Python
9.75,8310.0,0.0,Python
10.0,5250.0,0.0,Python
10.0,6960.0,0.0,Python
10.0,6780.0,0.0,Python
10.0,11700.0,0.0,Vue
8.83,4920.0,0.0,Python
10.0,4500.0,0.0,Python
10.0,2340.0,0.0,Python
10.0,20940.0,0.0,Python
10.0,3660.0,0.0,Python
9.75,3660.0,0.0,Python
10.0,5910.0,0.0,TypeScript
10.0,5980.0,1.0,Python
10.0,5293.333333,0.0,Python
8.83,4771.111111,0.0,Python
10.0,3660.0,0.0,Python
9.87,4620.0,0.0,Python
9.5,9810.0,1.0,Vue
10.0,2340.0,0.0,Python
10.0,3210.0,0.0,Python
10.0,5640.0,0.0,Python
9.37,10327.5,3.0,Python
9.75,1164.0,1.0,Python
9.25,9760.0,0.0,Python
10.0,120.0,0.0,Python
10.0,2560.0,0.0,Python
10.0,14160.0,0.0,Vue
9.5,5047.5,0.0,Python
10.0,5280.0,0.0,Python
10.0,3940.0,0.0,Python
10.0,4680.0,5.0,Python
10.0,5360.0,0.0,Python
10.0,3660.0,0.0,Python
10.0,2370.0,0.0,Python
10.0,2730.0,0.0,Python
10.0,17880.0,0.0,Vue
9.75,6426.315789,4.0,Python
10.0,5780.0,1.0,Python
10.0,2220.0,1.0,Python
10.0,2400.0,1.0,JavaScript
10.0,9000.0,0.0,JavaScript
10.0,3540.0,0.0,Python
10.0,4190.0,1.0,Python
9.35,8100.0,1.0,Vue
10.0,480.0,1.0,JavaScript
10.0,9630.0,1.0,Vue
10.0,8480.0,0.0,Python
9.75,6485.217390999999,2.0,Python
9.75,3180.0,0.0,Python
9.0,3240.0,3.0,Python
10.0,7035.0,0.0,JavaScript
9.27,3300.0,1.0,Python
10.0,2190.0,1.0,Python
10.0,51420.0,1.0,Python
9.75,3760.0,1.0,Python
9.12,4452.0,0.0,Python
7.4,5742.631579,12.0,Python
10.0,3640.0,4.0,Python
10.0,6100.0,0.0,Vue
10.0,3660.0,0.0,Python
10.0,1380.0,0.0,Python
9.25,60.0,0.0,Go
9.25,1944.0,0.0,TypeScript
10.0,6760.0,0.0,Python
10.0,120.0,0.0,TypeScript
8.83,3000.0,0.0,Python
10.0,2240.0,2.0,TypeScript
9.5,120.0,0.0,JavaScript
10.0,2580.0,1.0,TypeScript
10.0,1800.0,0.0,Python
10.0,1817.142857,1.0,TypeScript
10.0,3140.0,0.0,TypeScript
10.0,660.0,0.0,Python
9.5,3076.363636,1.0,JavaScript
10.0,2323.636364,5.0,Python
7.35,11340.0,2.0,Python
9.63,4590.0,1.0,Python
9.75,3360.0,0.0,Python
9.75,4190.0,7.0,Python
10.0,930.0,0.0,TypeScript
10.0,1426.666667,0.0,TypeScript
10.0,4230.0,1.0,TypeScript
10.0,1980.0,0.0,Python
10.0,2100.0,0.0,Python
10.0,1356.0,1.0,TypeScript
7.7,8160.0,0.0,Python
10.0,690.0,0.0,TypeScript
10.0,19080.0,0.0,TypeScript
10.0,120.0,0.0,TypeScript
9.12,2302.5,1.0,Python
9.5,3465.0,1.0,TypeScript
10.0,462.85714289999993,2.0,TypeScript
10.0,1386.666667,0.0,TypeScript
10.0,720.0,0.0,TypeScript
10.0,270.0,0.0,TypeScript
9.5,4590.0,1.0,Python
10.0,552.0,1.0,TypeScript
10.0,1680.0,0.0,Python
10.0,3540.0,0.0,TypeScript
7.9,12260.0,0.0,Python
10.0,1380.0,0.0,Python
10.0,7420.0,0.0,TypeScript
10.0,11574.0,3.0,Python
9.5,552.0,3.0,TypeScript
10.0,800.0,0.0,TypeScript
9.25,3060.0,0.0,Go
10.0,1320.0,0.0,TypeScript
10.0,120.0,1.0,TypeScript
10.0,5190.0,0.0,TypeScript
10.0,2610.0,0.0,Python
10.0,690.0,1.0,TypeScript
10.0,19080.0,0.0,TypeScript
10.0,3240.0,0.0,Python
10.0,7200.0,0.0,Python
10.0,660.0,0.0,Python
10.0,19080.0,0.0,TypeScript
10.0,22005.0,0.0,Python
9.75,8107.5,0.0,Python
9.75,9138.461538,2.0,Python
10.0,3060.0,0.0,Go
10.0,1260.0,0.0,TypeScript
10.0,2640.0,1.0,Python
10.0,9497.142856999999,1.0,Python
10.0,1950.0,0.0,TypeScript
8.83,5156.666667,7.0,Python
10.0,4460.0,1.0,Python
10.0,1740.0,0.0,Python
10.0,820.0,0.0,TypeScript
9.75,13440.0,1.0,Python
10.0,19080.0,0.0,TypeScript
10.0,8128.0,0.0,Python
10.0,4368.0,4.0,TypeScript
10.0,2670.0,0.0,TypeScript
10.0,1380.0,0.0,Python
10.0,2964.0,1.0,Python
10.0,1050.0,1.0,TypeScript
10.0,480.0,0.0,TypeScript
9.75,7980.0,0.0,Python
10.0,8430.0,1.0,Python
10.0,3060.0,0.0,TypeScript
10.0,1140.0,0.0,TypeScript
9.5,6045.0,0.0,Python
9.75,3438.0,1.0,Python
10.0,1740.0,0.0,Python
10.0,23540.0,1.0,TypeScript
10.0,19080.0,0.0,TypeScript
9.5,2130.0,0.0,TypeScript
10.0,570.0,1.0,JavaScript
10.0,480.0,0.0,Python
10.0,1740.0,0.0,Python
10.0,1680.0,0.0,TypeScript
10.0,540.0,0.0,TypeScript
8.33,2352.0,1.0,TypeScript
9.75,3180.0,0.0,Python
10.0,700.0,1.0,TypeScript
10.0,4440.0,0.0,Python
10.0,600.0,2.0,TypeScript
10.0,19080.0,0.0,TypeScript
10.0,1714.285714,0.0,TypeScript
10.0,3285.0,1.0,Python
10.0,2542.5,0.0,TypeScript
10.0,180.0,0.0,Python
10.0,3072.0,3.0,Python
10.0,120.0,0.0,TypeScript
10.0,750.0,0.0,Python
10.0,1260.0,2.0,TypeScript
10.0,19080.0,0.0,TypeScript
10.0,1080.0,0.0,TypeScript
6.57,6242.222222,6.0,Python
10.0,1680.0,0.0,Python
9.0,9038.181818000001,4.0,Python
10.0,4200.0,0.0,Python
10.0,20314.28571,1.0,Python
10.0,2185.0,3.0,Python
10.0,140.0,1.0,TypeScript
10.0,19080.0,0.0,TypeScript
10.0,4620.0,0.0,TypeScript
10.0,3560.0,0.0,TypeScript
10.0,1170.0,0.0,TypeScript
10.0,8686.666667,1.0,Python
10.0,4590.0,1.0,Python
10.0,1080.0,1.0,JavaScript
10.0,3694.285714,2.0,Python
10.0,3018.947368,1.0,Python
10.0,4090.0,0.0,TypeScript
10.0,3860.0,1.0,Python
10.0,420.0,0.0,JavaScript
9.25,15900.0,0.0,Go
10.0,19080.0,0.0,TypeScript
10.0,17490.0,0.0,Python
10.0,19080.0,0.0,TypeScript
10.0,480.0,0.0,Python
10.0,19080.0,0.0,TypeScript
9.75,870.0,0.0,Python
10.0,1720.0,0.0,TypeScript
10.0,16836.0,0.0,Python
10.0,1608.0,1.0,TypeScript
10.0,2580.0,0.0,Python
10.0,8115.0,4.0,TypeScript
10.0,31740.0,0.0,Go
10.0,3060.0,0.0,Go
10.0,15900.0,0.0,Go
10.0,4950.0,0.0,Python
9.5,240.0,1.0,TypeScript
10.0,6970.0,0.0,TypeScript
10.0,5040.0,0.0,Python
10.0,5820.0,0.0,TypeScript
10.0,1140.0,0.0,TypeScript
10.0,480.0,0.0,TypeScript
9.5,1260.0,0.0,Python
9.5,500.0,2.0,TypeScript
10.0,1582.5,2.0,TypeScript
10.0,1130.0,0.0,TypeScript
10.0,17340.0,0.0,Python
10.0,870.0,0.0,Python
10.0,9228.0,2.0,TypeScript
10.0,7611.4285709999995,1.0,Python
10.0,2220.0,1.0,Python
10.0,240.0,0.0,TypeScript
10.0,13560.0,1.0,Python
10.0,180.0,0.0,TypeScript
9.25,1260.0,0.0,TypeScript
10.0,1437.777778,2.0,TypeScript
9.12,13300.0,0.0,Python
10.0,8470.909091,1.0,Python
10.0,4725.0,2.0,TypeScript
8.5,12660.0,0.0,Python
9.58,13293.33333,0.0,Python
9.25,21300.0,0.0,TypeScript
10.0,3870.0,1.0,Python
10.0,19080.0,0.0,TypeScript
9.5,216.0,1.0,TypeScript
10.0,19080.0,0.0,TypeScript
10.0,1140.0,0.0,TypeScript
10.0,1740.0,0.0,Python
10.0,2775.0,0.0,TypeScript
10.0,6680.0,0.0,TypeScript
10.0,19080.0,0.0,TypeScript
10.0,19080.0,0.0,TypeScript
10.0,920.0,0.0,TypeScript
10.0,1290.0,0.0,Python
10.0,6750.0,0.0,Python
6.37,12277.5,1.0,Python
10.0,555.0,0.0,TypeScript
10.0,15900.0,0.0,Go
7.22,1530.0,1.0,TypeScript
10.0,13515.0,1.0,Python
9.75,2436.0,2.0,Python
10.0,5790.0,0.0,TypeScript
10.0,7248.0,1.0,TypeScript
8.66,2180.0,1.0,Python
9.5,240.0,0.0,TypeScript
10.0,1680.0,0.0,Python
10.0,2960.0,1.0,Python
10.0,3092.0,1.0,Python
10.0,930.0,0.0,TypeScript
10.0,4440.0,0.0,Python
10.0,660.0,2.0,TypeScript
9.65,10773.33333,0.0,Python
9.25,1245.0,0.0,TypeScript
10.0,3720.0,0.0,Python
10.0,4590.0,1.0,Python
9.75,2585.454545,7.0,Python
10.0,270.0,0.0,TypeScript
10.0,480.0,1.0,Python
9.5,1380.0,0.0,Python
10.0,1267.5,4.0,Python
10.0,920.0,0.0,TypeScript
10.0,960.0,0.0,TypeScript
10.0,19080.0,0.0,TypeScript
9.05,11766.66667,1.0,Python
10.0,1500.0,0.0,Python
10.0,2920.0,0.0,TypeScript
10.0,660.0,0.0,Python
10.0,19080.0,0.0,TypeScript
10.0,60.0,2.0,TypeScript
8.66,4953.75,1.0,Python
10.0,60.0,2.0,TypeScript
10.0,7842.0,4.0,Python
10.0,686.6666667000001,1.0,TypeScript
10.0,10080.0,0.0,TypeScript
10.0,880.0,3.0,TypeScript
9.25,9805.714286,1.0,Python
10.0,760.0,1.0,TypeScript
10.0,5940.0,1.0,Python
10.0,6960.0,0.0,Python
9.5,1440.0,3.0,TypeScript
10.0,1140.0,0.0,TypeScript
10.0,1170.0,1.0,TypeScript
9.5,60.0,1.0,TypeScript
10.0,1060.0,0.0,Python
10.0,2505.0,1.0,TypeScript
10.0,960.0,0.0,TypeScript
10.0,3060.0,1.0,Python
10.0,2070.0,0.0,Python
10.0,2220.0,1.0,Python
10.0,4650.0,1.0,Python
10.0,1935.0,0.0,Python
10.0,1566.0,1.0,TypeScript
10.0,360.0,1.0,TypeScript
9.5,3642.857143,1.0,Python
9.65,3060.0,1.0,Python
10.0,3726.0,1.0,Python
10.0,20310.0,1.0,Python
10.0,1860.0,0.0,Python
10.0,1335.0,0.0,TypeScript
10.0,1636.363636,0.0,TypeScript
10.0,150.0,1.0,TypeScript
5.75,480.0,1.0,Python
9.65,6793.333333,2.0,Python
10.0,4950.0,0.0,Python
10.0,6406.666667,1.0,Python
10.0,2460.0,0.0,TypeScript
10.0,240.0,0.0,TypeScript
10.0,480.0,0.0,TypeScript
6.85,3750.0,0.0,Python
9.25,2910.0,0.0,Python
7.9,2586.0,0.0,Python
7.92,2663.076923,0.0,Python
10.0,2520.0,0.0,Python
7.8,2340.0,0.0,Python
10.0,2940.0,1.0,Python
10.0,6720.0,0.0,Python
6.1,3992.0,1.0,Python
8.0,18000.0,0.0,Python
9.5,2692.5,0.0,Python
10.0,5640.0,0.0,Python
7.6,13320.0,0.0,Python
8.33,120.0,0.0,Python
6.78,4084.285714,1.0,Python
5.75,16200.0,0.0,Python
5.66,3428.571429,0.0,Python
8.5,1080.0,0.0,Python
6.75,5202.857143,1.0,Python
8.5,16200.0,0.0,Python
7.7,3780.0,0.0,Python
8.66,269760.0,0.0,Python
10.0,1560.0,0.0,Python
8.66,480.0,0.0,Python
7.6,19345.71429,0.0,Python
6.29,1800.0,0.0,Python
